AREA,dcode,dname,dname_e,pname,acc_count
11804564,1025,เขตบางพลัด,Bang Phlat,กรุงเทพมหานคร,400
16319268,1017,เขตห้วยขวาง,Huai Khwang,กรุงเทพมหานคร,623
17075578,1045,เขตวังทองหลาง,Wang Thong Lang,กรุงเทพมหานคร,620
51732144,1048,เขตทวีวัฒนา,Thawi Watthana,กรุงเทพมหานคร,533
128628048,1011,เขตลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,548
8465891,1026,เขตดินแดง,Din Daeng,กรุงเทพมหานคร,665
35767720,1019,เขตตลิ่งชัน,Taling Chan,กรุงเทพมหานคร,515
11329900,1002,เขตดุสิต,Dusit,กรุงเทพมหานคร,572
28068656,1044,เขตสะพานสูง,Saphan Sung,กรุงเทพมหานคร,238
9214668,1014,เขตพญาไท,Phaya Thai,กรุงเทพมหานคร,754
12323945,1020,เขตบางกอกน้อย,Bangkok Noi,กรุงเทพมหานคร,401
7167652,1037,เขตราชเทวี,Ratchathewi,กรุงเทพมหานคร,702
5361067,1001,เขตพระนคร,Phra Nakhon,กรุงเทพมหานคร,293
2504113,1008,เขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,กรุงเทพมหานคร,177
8032768,1007,เขตปทุมวัน,Parthum Wan,กรุงเทพมหานคร,341
47890656,1040,เขตบางแค,Bang Khae,กรุงเทพมหานคร,522
24113560,1034,เขตสวนหลวง,Suanluang,กรุงเทพมหานคร,634
12996544,1039,เขตวัฒนา,Vadhana,กรุงเทพมหานคร,345
6298272,1016,เขตบางกอกใหญ่,Bangkok Yai,กรุงเทพมหานคร,130
19182494,1022,เขตภาษีเจริญ,Phasi Charoen,กรุงเทพมหานคร,401
1392972.75,1013,เขตสัมพันธวงศ์,Samphanthawong,กรุงเทพมหานคร,58
13240401,1033,เขตคลองเตย,Khlong Toei,กรุงเทพมหานคร,610
8461864,1015,เขตธนบุรี,Thon buri,กรุงเทพมหานคร,500
5965976,1018,เขตคลองสาน,Khlong San,กรุงเทพมหานคร,280
53728764,1032,เขตประเวศ,Pra Wet,กรุงเทพมหานคร,506
4012576,1004,เขตบางรัก,Bang Rak,กรุงเทพมหานคร,252
36201384,1023,เขตหนองแขม,Nong Khaem,กรุงเทพมหานคร,266
7259143,1028,เขตสาทร,Sathon,กรุงเทพมหานคร,251
12504782,1012,เขตยานนาวา,Yan na wa,กรุงเทพมหานคร,351
23167158,1035,เขตจอมทอง,Chom Thong,กรุงเทพมหานคร,455
8312167,1031,เขตบางคอแหลม,Bang Kho laen,กรุงเทพมหานคร,188
13578695,1009,เขตพระโขนง,Phra Khanong,กรุงเทพมหานคร,195
12333130,1024,เขตราษฏร์บูรณะ,Rat Burana,กรุงเทพมหานคร,238
35857236,1050,เขตบางบอน,Bang Bon,กรุงเทพมหานคร,309
18947526,1047,เขตบางนา,Bang Na,กรุงเทพมหานคร,407
122207808,1021,เขตบางขุนเทียน,Bang Khun thain,กรุงเทพมหานคร,598
36691444,1036,เขตดอนเมือง,Don Mueang,กรุงเทพมหานคร,521
240448192,1003,เขตหนองจอก,Nong Chok,กรุงเทพมหานคร,256
43612880,1042,เขตสายไหม,Sai Mai,กรุงเทพมหานคร,345
120176920,1046,เขตคลองสามวา,Khlong Sam Wa,กรุงเทพมหานคร,354
22669208,1041,เขตหลักสี่,Lak Si,กรุงเทพมหานคร,678
40959096,1005,เขตบางเขน,Bang Khen,กรุงเทพมหานคร,692
32656716,1030,เขตจตุจักร,Chatu Chak,กรุงเทพมหานคร,2653
25380514,1043,เขตคันนายาว,Khan Na Yao,กรุงเทพมหานคร,391
61120416,1010,เขตมีนบุรี,Min Buri,กรุงเทพมหานคร,418
21266434,1038,เขตลาดพร้าว,Lat Phrao,กรุงเทพมหานคร,539
12885789,1029,เขตบางซื่อ,Bang Sue,กรุงเทพมหานคร,1482
23404956,1027,เขตบึงกุ่ม,Bueng Kum,กรุงเทพมหานคร,384
27587404,1006,เขตบางกะปิ,Bang Kapi,กรุงเทพมหานคร,698
32950616,1049,เขตทุ่งครุ,Thung khru,กรุงเทพมหานคร,228
